"title","artist","link"
"Untitled (Unknown)","Annabel Keatley","https://collections.ed.ac.uk/art/record/21609?highlight=*:*"
"Stately Dance (1947)","Allan W. Robson","https://collections.ed.ac.uk/art/record/21741?highlight=*:*"
"Acanthus Scrolls, Temple of Venus Genetrix, Rome","Unknown","https://collections.ed.ac.uk/art/record/20560?highlight=*:*"
"Portrait of a Young Man (1950)","Joseph Maxwell","https://collections.ed.ac.uk/art/record/21061?highlight=*:*"
"Unknown (1965)","William S. T. Brodie","https://collections.ed.ac.uk/art/record/53597?highlight=*:*"
"Replica cast (brown) of Parthenon slab GE33","Unknown","https://collections.ed.ac.uk/art/record/20657?highlight=*:*"
"Teacup","Emma Gillies","https://collections.ed.ac.uk/art/record/53636?highlight=*:*"
"For They Shall See God (2006)","Jennifer M. Hughes","https://collections.ed.ac.uk/art/record/99881?highlight=*:*"
"Metope 3, south entablature, Parthenon (1837)",NA,"https://collections.ed.ac.uk/art/record/20641?highlight=*:*"
"Untitled (1947)","Sheila Turnbull","https://collections.ed.ac.uk/art/record/111032?highlight=*:*"
"Anat (1966)","Norman Orr","https://collections.ed.ac.uk/art/record/99405?highlight=*:*"
"Works of a Strange Device: Drawing Smoke (2016)","Suzanne Priestley","https://collections.ed.ac.uk/art/record/99239?highlight=*:*"
"Oranges (2018)","Jessica Gasson","https://collections.ed.ac.uk/art/record/102753?highlight=*:*"
"Unknown, Abstract","Paresh Chandra Chakraborty","https://collections.ed.ac.uk/art/record/99485?highlight=*:*"
"Composition with Washing Line (Circa 1987)","Gary Ferguson","https://collections.ed.ac.uk/art/record/22620?highlight=*:*"
"Bearded Goat","Emma Gillies","https://collections.ed.ac.uk/art/record/53755?highlight=*:*"
"Wall hanging (1939)","Unknown","https://collections.ed.ac.uk/art/record/100009?highlight=*:*"
"Abstract with Blue Stripes (quadriptych) (1969)","Ian G. Robertson","https://collections.ed.ac.uk/art/record/22569?highlight=*:*"
"November Afternoon (1982)","Gwyneth M. Leech","https://collections.ed.ac.uk/art/record/99433?highlight=*:*"
"Two Figures in a Landscape","Unknown","https://collections.ed.ac.uk/art/record/21484?highlight=*:*"
"Esme (1949)","Betty Elston","https://collections.ed.ac.uk/art/record/22694?highlight=*:*"
"Untitled (1963)","Kathleen Russell","https://collections.ed.ac.uk/art/record/22014?highlight=*:*"
"Standing Male Nude (Jan 1958)","Walter Miller","https://collections.ed.ac.uk/art/record/20907?highlight=*:*"
"Seated Female Nude (Circa 1939)","Alistair W McCheyne","https://collections.ed.ac.uk/art/record/21139?highlight=*:*"
"Untitled (Unknown)","J Nicoll","https://collections.ed.ac.uk/art/record/21728?highlight=*:*"
"Female Nude Seated on a Chair (1953)","Margaret Ronald","https://collections.ed.ac.uk/art/record/20950?highlight=*:*"
"Unknown","Unknown","https://collections.ed.ac.uk/art/record/53504?highlight=*:*"
"Replica of parthenon slab PF049",NA,"https://collections.ed.ac.uk/art/record/20653?highlight=*:*"
"Seated Female Nude","Colin Lawson","https://collections.ed.ac.uk/art/record/20774?highlight=*:*"
"Untitled - Holyrood Palace (1978-1979)","Thomas F. C. Denny","https://collections.ed.ac.uk/art/record/99413?highlight=*:*"
"Standing Male Nude (1959)","B Clapperton","https://collections.ed.ac.uk/art/record/20911?highlight=*:*"
"Circo Togni, Ravenna (1957)","Peter McGinn","https://collections.ed.ac.uk/art/record/21114?highlight=*:*"
"Small relief with figure in clerical dress",NA,"https://collections.ed.ac.uk/art/record/20611?highlight=*:*"
"Unknown (1951)","Harold F Burnett","https://collections.ed.ac.uk/art/record/50572?highlight=*:*"
"Horses from South Frieze of the Parthenon (1836-1837)",NA,"https://collections.ed.ac.uk/art/record/20732?highlight=*:*"
"Unknown (Unknown)","Unknown","https://collections.ed.ac.uk/art/record/21857?highlight=*:*"
"Untitled (1963)","Monika L. Uecher","https://collections.ed.ac.uk/art/record/21774?highlight=*:*"
"Riders from the North Frieze of the Parthenon (1836-1837)",NA,"https://collections.ed.ac.uk/art/record/20701?highlight=*:*"
"Reclining Female Nude (1959)","Jean I. Beattie","https://collections.ed.ac.uk/art/record/20922?highlight=*:*"
"Seated Male Nude (1965-1966)","H Chart","https://collections.ed.ac.uk/art/record/21268?highlight=*:*"
"John Stone (1950)","David McClure","https://collections.ed.ac.uk/art/record/22666?highlight=*:*"
"Untitled (1961)","Norma Kirk","https://collections.ed.ac.uk/art/record/22010?highlight=*:*"
"(n) (fr) Les Voyeurs (1984)","David C Duke","https://collections.ed.ac.uk/art/record/99247?highlight=*:*"
"Unknown","Unknown","https://collections.ed.ac.uk/art/record/53536?highlight=*:*"
"Unknown (1949)","Mary D Thomson","https://collections.ed.ac.uk/art/record/50452?highlight=*:*"
"Minotaur","Paul Duffus","https://collections.ed.ac.uk/art/record/102661?highlight=*:*"
